Vessel_Name,Flag,Callsign,Vessel_Type,AIS_Type,Year_Built,GT,DWT,Size_m
CYCLADES,Greece,SWPY,Bulk Carrier,Cargo ship,2004,87349,87349,289 / 45
MILLENA,Comoros,-,Bulk Carrier,-,2000,87407,87407,288 / 45
ORIENTAL NAVIGATOR,Korea,DSMA8,Bulk Carrier,Cargo ship,1999,87417,87417,289 / 45
GLOVIS AMBITION,Korea,D7GA,Bulk Carrier,Cargo ship,2002,87430,87430,289 / 45
BERGE YOTEI,Isle of Man,-,Bulk Carrier,-,1997,87322,87322,289 / 45
MOJO,Marshall Islands,V7UC3,Bulk Carrier,Cargo ship,2005,87440,87440,289 / 45
SUNNY BOKE,Panama,H3XI,Bulk Carrier,Cargo ship,2001,87473,87473,289 / 45
CAPE ORCHID,South Africa,ZR6287,Bulk Carrier,Cargo ship,2001,87322,87322,289 / 45
MOL COMFORT,Bahamas,-,Container Ship,-,2008,86692,86692,316 / 46
CRASSIER,Panama,H3AV,Bulk Carrier,Tanker,2000,87473,87473,289 / 45
FAIR,Liberia,-,Bulk Carrier,-,1997,87441,87441,289 / 45
CAPE STEFANIE,Cyprus,5BRN3,Bulk Carrier,Cargo ship,1999,87473,87473,289 / 45
NEW LEONIDAS,Liberia,A8BK7,Bulk Carrier,Cargo ship,2003,87590,87590,289 / 45
MINERAL ANTWERPEN,Panama,HOYD,Bulk Carrier,Cargo ship,2003,87495,87495,289 / 45
AQUAGLORY,Liberia,D5WG8,Bulk Carrier,Cargo ship,2003,87597,87597,289 / 45
ABML GRACE,Liberia,D5WO4,Bulk Carrier,Cargo ship,2002,87495,87495,289 / 45
ARETHOUSA,Cyprus,5BUQ3,Bulk Carrier,Cargo ship,2001,87590,87590,289 / 45
SANTA TERESA,Denmark,OXAW2,Container Ship,Cargo ship (HAZ-A),2011,85676,85676,300 / 43
ALAM CETUS,Liberia,A8TY6,Bulk Carrier,Cargo ship,2003,87590,87590,289 / 45
ANDROS BEAUTY,Liberia,A8TY4,Bulk Carrier,Cargo ship,2003,87597,87597,289 / 45
WATER,Niue,-,Bulk Carrier,-,1999,85695,85695,289 / 45
SANTA ISABEL,Denmark,OXWU2,Container Ship,Cargo ship,2010,85676,85676,300 / 43
SANTA CLARA,Denmark,OXVI2,Container Ship,Cargo ship (HAZ-A),2010,85676,85676,300 / 43
SANTA CRUZ,Denmark,OXTN2,Container Ship,Cargo ship (HAZ-A),2011,85676,85676,300 / 43
SANTA RITA,Denmark,OXCR2,Container Ship,Cargo ship (HAZ-A),2011,85676,85676,300 / 43
SANTA ROSA,Denmark,OXMP2,Container Ship,Cargo ship (HAZ-D),2011,85676,85676,300 / 43
CAR,St Kitts & Nevis,-,Bulk Carrier,-,1996,85706,85706,289 / 42
NAVIGATOR,Niue,-,Bulk Carrier,-,1997,85711,85711,288 / 44
